Make,Model,Year,Price,Mileage,Body Type,Cylinders,Transmission,Fuel Type,Color,Location,Description,Condition
Nissan,Altima,2022,35378,106108,Sedan,4,Automatic Transmission,Gasoline,White, Sharjah,"2022 Nissan Altima With Adaptive Cruise Control, Sunroof", Engine Repaired
Ford,Edge,2018,183374,265019,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2018 Ford Edge With Navigation System, Adaptive Cruise Control", No Damage
Nissan,Patrol,2017,139466,152744,SUV,6,Manual Transmission,Gasoline,White, Dubai,"2017 Nissan Patrol With Sunroof, Navigation System", Minor Scratches
Bmw,6-Series,2015,50460,146659,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2015 Bmw 6-Series With Bluetooth, Rear Camera", Dented Door
Hyundai,Kona,2020,49724,112352,SUV,4,Automatic Transmission,Gasoline,Red, Dubai,"2020 Hyundai Kona With Bluetooth, Leather Seats, Rear Camera, Navigation System", Minor Scratches
Mercedes-Benz,S-Class,2006,49519,241390,Sedan,8,Automatic Transmission,Gasoline,White, Dubai,"2006 Mercedes-Benz S-Class With Rear Camera, Adaptive Cruise Control", Repainted Bumper
Lamborghini,Urus,2021,1568997,28162,Crossover,Unknown,Automatic Transmission,Gasoline,Red, Dubai,"2021 Lamborghini Urus With Rear Camera, Leather Seats, Adaptive Cruise Control", Dented Door
Porsche,Cayenne,2019,74335,278497,SUV,6,Automatic Transmission,Gasoline,Silver, Abu Dhabi,"2019 Porsche Cayenne With Navigation System, Rear Camera", Repainted Bumper
Mitsubishi,Pajero,2013,40762,10587,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai,"2013 Mitsubishi Pajero With Rear Camera, Sunroof", No Damage
Dodge,Challenger,2023,130555,69833,Coupe,8,Automatic Transmission,Gasoline,Grey, Dubai,"2023 Dodge Challenger With Navigation System, Adaptive Cruise Control, Bluetooth, Rear Camera", Engine Repaired
Mercedes-Benz,C-Class,2014,120941,184492,Sedan,4,Automatic Transmission,Gasoline,Blue, Sharjah,"2014 Mercedes-Benz C-Class With Navigation System, Bluetooth, Leather Seats, Sunroof", Dented Door
Porsche,Cayenne,2014,68719,253848,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2014 Porsche Cayenne With Adaptive Cruise Control, Rear Camera", Engine Repaired
Chevrolet,Silverado,2009,159025,173619,Pick Up Truck,8,Automatic Transmission,Gasoline,Black, Dubai,"2009 Chevrolet Silverado With Navigation System, Leather Seats", No Damage
Porsche,Cayenne,2008,1055578,169934,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2008 Porsche Cayenne With Sunroof, Leather Seats, Adaptive Cruise Control, Rear Camera", Accident History
Mini,Cooper,2011,85706,225344,Coupe,4,Automatic Transmission,Gasoline,Red, Dubai,"2011 Mini Cooper With Bluetooth, Rear Camera", Engine Repaired
Mercedes-Benz,G-Class,2007,1164907,168941,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2007 Mercedes-Benz G-Class With Leather Seats, Sunroof", Engine Repaired
Nissan,Patrol,2011,129092,272655,SUV,6,Automatic Transmission,Gasoline,Black, Sharjah,"2011 Nissan Patrol With Sunroof, Navigation System, Rear Camera, Leather Seats", Dented Door
Aston-Martin,Rapide,2011,302938,264405,Sedan,12,Automatic Transmission,Gasoline,White, Dubai,"2011 Aston-Martin Rapide With Leather Seats, Navigation System", Minor Scratches
Ford,F-Series-Pickup,2010,289114,70881,Pick Up Truck,6,Automatic Transmission,Hybrid,Black, Dubai,"2010 Ford F-Series-Pickup With Rear Camera, Bluetooth, Leather Seats", No Damage
Gmc,Yukon,2013,303404,81085,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2013 Gmc Yukon With Navigation System, Bluetooth, Adaptive Cruise Control, Sunroof", Engine Repaired
Chevrolet,Corvette,2018,448226,140105,Coupe,8,Automatic Transmission,Gasoline,Red, Abu Dhabi,"2018 Chevrolet Corvette With Navigation System, Sunroof, Bluetooth, Adaptive Cruise Control", Engine Repaired
Renault,Duster,2021,39249,232139,SUV,4,Automatic Transmission,Gasoline,Blue, Abu Dhabi,"2021 Renault Duster With Adaptive Cruise Control, Navigation System, Sunroof", Repainted Bumper
Volkswagen,Tiguan,2012,26449,90347,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2012 Volkswagen Tiguan With Navigation System, Adaptive Cruise Control, Bluetooth, Sunroof", Dented Door
Chevrolet,Camaro,2008,101280,296942,Coupe,6,Automatic Transmission,Gasoline,Red, Dubai,"2008 Chevrolet Camaro With Bluetooth, Sunroof, Leather Seats", No Damage
Kia,Sportage,2009,27993,128406,SUV,4,Automatic Transmission,Gasoline,Grey, Sharjah,"2009 Kia Sportage With Adaptive Cruise Control, Rear Camera, Sunroof, Navigation System", Engine Repaired
Porsche,Cayenne,2023,26689,144687,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2023 Porsche Cayenne With Rear Camera, Navigation System", Accident History
Lexus,Lx-Series,2023,22063,117781,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2023 Lexus Lx-Series With Adaptive Cruise Control, Leather Seats, Rear Camera, Sunroof", Engine Repaired
Toyota,Hilux,2008,92960,197399,Pick Up Truck,4,Automatic Transmission,Gasoline,White, Dubai,"2008 Toyota Hilux With Sunroof, Adaptive Cruise Control, Navigation System", Engine Repaired
Nissan,Altima,2014,50305,245288,Other,4,Automatic Transmission,Gasoline,Silver, Dubai,"2014 Nissan Altima With Navigation System, Adaptive Cruise Control", Engine Repaired
Land-Rover,Range-Rover,2010,147413,51135,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai,"2010 Land-Rover Range-Rover With Bluetooth, Rear Camera", Repainted Bumper
Mercedes-Benz,S-Class,2017,41108,299068,Sedan,8,Automatic Transmission,Gasoline,Blue, Dubai,"2017 Mercedes-Benz S-Class With Adaptive Cruise Control, Bluetooth", No Damage
Suzuki,Kizashi,2008,26485,256337,Sedan,4,Automatic Transmission,Gasoline,Silver, Dubai,"2008 Suzuki Kizashi With Leather Seats, Navigation System, Bluetooth", Minor Scratches
Toyota,Prado,2010,121251,218125,SUV,6,Automatic Transmission,Gasoline,White, Sharjah,"2010 Toyota Prado With Sunroof, Bluetooth, Leather Seats, Rear Camera", Dented Door
Lincoln,Navigator,2024,1186097,185898,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2024 Lincoln Navigator With Rear Camera, Navigation System, Adaptive Cruise Control, Sunroof", Repainted Bumper
Hyundai,Azera,2022,72404,190530,Sedan,4,Automatic Transmission,Gasoline,Silver, Dubai,"2022 Hyundai Azera With Bluetooth, Sunroof", Repainted Bumper
Mercedes-Benz,E-Class,2006,273876,137443,Coupe,6,Automatic Transmission,Gasoline,Black, Sharjah,"2006 Mercedes-Benz E-Class With Sunroof, Rear Camera, Navigation System, Bluetooth", Repainted Bumper
Bmw,X6,2008,211781,152869,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2008 Bmw X6 With Rear Camera, Sunroof, Navigation System, Leather Seats", Accident History
Toyota,Prado,2024,165581,211218,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2024 Toyota Prado With Bluetooth, Adaptive Cruise Control, Leather Seats, Navigation System", No Damage
Audi,Q8,2010,856148,246373,Hatchback,8,Automatic Transmission,Gasoline,Grey, Dubai,"2010 Audi Q8 With Navigation System, Rear Camera, Sunroof", Dented Door
Nissan,Sunny,2009,18732,38653,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2009 Nissan Sunny With Adaptive Cruise Control, Sunroof, Leather Seats, Navigation System", Repainted Bumper
Bentley,Bentayga,2006,639348,217852,SUV,12,Automatic Transmission,Gasoline,White, Dubai,"2006 Bentley Bentayga With Navigation System, Rear Camera", Minor Scratches
Land-Rover,Range-Rover,2019,162663,186547,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2019 Land-Rover Range-Rover With Sunroof, Navigation System, Rear Camera, Bluetooth", Accident History
Mercedes-Benz,S-Class-Coupe,2012,354906,110402,Coupe,8,Automatic Transmission,Gasoline,Grey, Dubai,"2012 Mercedes-Benz S-Class-Coupe With Leather Seats, Adaptive Cruise Control", Engine Repaired
Maybach,Other,2014,1683182,176768,Sedan,12,Automatic Transmission,Gasoline,Other Color, Dubai,"2014 Maybach Other With Navigation System, Leather Seats, Adaptive Cruise Control, Rear Camera", Dented Door
Jeep,Grand-Cherokee,2013,211822,70843,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2013 Jeep Grand-Cherokee With Rear Camera, Bluetooth, Navigation System", Repainted Bumper
Mercedes-Benz,Gls-Class,2022,1156447,94130,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2022 Mercedes-Benz Gls-Class With Rear Camera, Sunroof, Adaptive Cruise Control, Navigation System", Dented Door
Toyota,Land-Cruiser-76-Series,2011,134242,69330,SUV,6,Manual Transmission,Gasoline,Beige, Abu Dhabi,"2011 Toyota Land-Cruiser-76-Series With Bluetooth, Navigation System, Sunroof, Rear Camera", Minor Scratches
Mercedes-Benz,Gle-Coupe,2021,556885,222948,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2021 Mercedes-Benz Gle-Coupe With Rear Camera, Adaptive Cruise Control, Leather Seats, Navigation System", Accident History
Hyundai,Sonata,2014,61585,194809,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2014 Hyundai Sonata With Adaptive Cruise Control, Leather Seats, Sunroof", Engine Repaired
Ford,Bronco,2006,265251,112398,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2006 Ford Bronco With Adaptive Cruise Control, Rear Camera, Navigation System, Bluetooth", Engine Repaired
Peugeot,Expert,2009,31223,72164,Utility Truck,4,Automatic Transmission,Diesel,White, Dubai,"2009 Peugeot Expert With Adaptive Cruise Control, Sunroof, Leather Seats, Navigation System", No Damage
Gmc,Yukon,2022,233453,76257,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2022 Gmc Yukon With Leather Seats, Adaptive Cruise Control, Sunroof, Navigation System", Minor Scratches
Toyota,Hilux,2021,151613,113155,Pick Up Truck,4,Manual Transmission,Diesel,Grey, Dubai,"2021 Toyota Hilux With Leather Seats, Navigation System, Adaptive Cruise Control", No Damage
Bmw,7-Series,2006,316052,156772,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai,"2006 Bmw 7-Series With Adaptive Cruise Control, Bluetooth, Leather Seats, Rear Camera", Dented Door
Jaguar,E-Pace,2017,144665,274227,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2017 Jaguar E-Pace With Bluetooth, Adaptive Cruise Control, Navigation System, Leather Seats", Repainted Bumper
Audi,Tt,2016,44472,273308,Coupe,4,Automatic Transmission,Gasoline,White, Dubai,"2016 Audi Tt With Bluetooth, Navigation System, Leather Seats", No Damage
Land-Rover,Range-Rover,2024,168761,80757,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2024 Land-Rover Range-Rover With Sunroof, Bluetooth", No Damage
Honda,Cr-V,2013,46524,84969,SUV,4,Automatic Transmission,Gasoline,Gold, Abu Dhabi,"2013 Honda Cr-V With Sunroof, Adaptive Cruise Control, Navigation System, Bluetooth", No Damage
Jaguar,Xf,2019,78046,234589,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai,"2019 Jaguar Xf With Navigation System, Sunroof, Rear Camera", No Damage
Lexus,Lx-Series,2012,85379,233659,SUV,8,Automatic Transmission,Gasoline,Silver, Sharjah,"2012 Lexus Lx-Series With Sunroof, Leather Seats", Accident History
Audi,Q7,2022,28401,165386,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2022 Audi Q7 With Adaptive Cruise Control, Bluetooth", Repainted Bumper
Mercedes-Benz,S-Class,2020,717340,67821,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2020 Mercedes-Benz S-Class With Navigation System, Rear Camera", Repainted Bumper
Lexus,Ls-Series,2016,23376,175678,Sedan,8,Automatic Transmission,Gasoline,Black, Sharjah,"2016 Lexus Ls-Series With Sunroof, Bluetooth", Dented Door
Audi,A3,2017,69722,75665,Sedan,4,Automatic Transmission,Gasoline,Red, Dubai,"2017 Audi A3 With Leather Seats, Bluetooth", No Damage
Honda,Accord,2022,47497,126540,Sedan,4,Automatic Transmission,Gasoline,Red, Dubai,"2022 Honda Accord With Bluetooth, Adaptive Cruise Control, Leather Seats", Engine Repaired
Citroen,C5,2024,112539,280276,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2024 Citroen C5 With Adaptive Cruise Control, Navigation System", Engine Repaired
Bmw,X5,2007,128256,256471,SUV,6,Automatic Transmission,Gasoline,Blue, Dubai,"2007 Bmw X5 With Bluetooth, Leather Seats, Rear Camera, Navigation System", No Damage
Cadillac,Ctscatera,2011,94590,150903,Sedan,6,Automatic Transmission,Gasoline,White, Dubai,"2011 Cadillac Ctscatera With Rear Camera, Navigation System, Adaptive Cruise Control, Bluetooth", Engine Repaired
Infiniti,Qx70,2017,65084,232545,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2017 Infiniti Qx70 With Navigation System, Sunroof, Leather Seats, Rear Camera", Dented Door
Cadillac,Escalade,2010,569875,296315,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2010 Cadillac Escalade With Adaptive Cruise Control, Bluetooth", Dented Door
Nissan,Patrol,2006,68580,50462,SUV,8,Automatic Transmission,Gasoline,Gold, Dubai,"2006 Nissan Patrol With Navigation System, Adaptive Cruise Control, Leather Seats", No Damage
Land-Rover,Range-Rover,2020,460904,29781,SUV,8,Automatic Transmission,Gasoline,White, Ajman,"2020 Land-Rover Range-Rover With Adaptive Cruise Control, Navigation System, Sunroof", No Damage
Bmw,5-Series,2023,66361,258890,Sedan,4,Automatic Transmission,Gasoline,Blue, Dubai,"2023 Bmw 5-Series With Leather Seats, Sunroof, Rear Camera", No Damage
Porsche,Boxster,2021,225017,181546,Soft Top Convertible,4,Automatic Transmission,Gasoline,White,Abu Dhabi,"2021 Porsche Boxster With Bluetooth, Adaptive Cruise Control, Rear Camera", Dented Door
Maserati,Ghibli,2018,271423,218348,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai,"2018 Maserati Ghibli With Adaptive Cruise Control, Sunroof", Minor Scratches
Cadillac,Escalade,2008,473426,278862,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2008 Cadillac Escalade With Bluetooth, Navigation System, Adaptive Cruise Control", Accident History
Chevrolet,Camaro,2013,83164,86886,Sports Car,6,Automatic Transmission,Gasoline,Grey, Dubai,"2013 Chevrolet Camaro With Adaptive Cruise Control, Bluetooth, Rear Camera", Accident History
Lexus,Lx600,2010,785350,112823,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2010 Lexus Lx600 With Sunroof, Rear Camera, Adaptive Cruise Control", Minor Scratches
Land-Rover,Discovery-Sport,2012,93184,217507,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2012 Land-Rover Discovery-Sport With Navigation System, Leather Seats, Bluetooth, Sunroof", Engine Repaired
Porsche,Cayenne,2016,103167,122972,Sports Car,8,Automatic Transmission,Gasoline,White, Abu Dhabi,"2016 Porsche Cayenne With Sunroof, Leather Seats, Navigation System", Dented Door
Chevrolet,Silverado,2022,125793,254824,SUV,8,Automatic Transmission,Gasoline,White, Sharjah,"2022 Chevrolet Silverado With Navigation System, Sunroof, Rear Camera", Repainted Bumper
Infiniti,Qx56,2007,18535,42670,SUV,8,Automatic Transmission,Gasoline,Silver, Sharjah,"2007 Infiniti Qx56 With Navigation System, Adaptive Cruise Control", Accident History
Lexus,Lx-Series,2006,95978,121781,SUV,8,Automatic Transmission,Gasoline,Black, Sharjah,"2006 Lexus Lx-Series With Rear Camera, Navigation System, Bluetooth", Dented Door
Jeep,Grand-Cherokee,2022,59471,127314,SUV,6,Automatic Transmission,Gasoline,Red,Dubai,"2022 Jeep Grand-Cherokee With Adaptive Cruise Control, Sunroof", Repainted Bumper
Tesla,Model-3,2015,261989,283297,Sedan,,Automatic Transmission,Electric,White, Dubai,"2015 Tesla Model-3 With Adaptive Cruise Control, Bluetooth", No Damage
Mercedes-Benz,C-Class,2014,109480,254602,Hard Top Convertible,4,Automatic Transmission,Gasoline,White, Dubai,"2014 Mercedes-Benz C-Class With Bluetooth, Leather Seats, Sunroof, Adaptive Cruise Control", Accident History
Cadillac,Escalade,2011,448228,179069,SUV,8,Automatic Transmission,Gasoline,Black, Dubai,"2011 Cadillac Escalade With Adaptive Cruise Control, Leather Seats, Bluetooth, Sunroof", Dented Door
Jeep,Grand-Cherokee,2006,183459,219043,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai,"2006 Jeep Grand-Cherokee With Sunroof, Navigation System", Minor Scratches
Hyundai,Tucson,2014,55190,277724,SUV,4,Automatic Transmission,Gasoline,White, Dubai,"2014 Hyundai Tucson With Leather Seats, Adaptive Cruise Control, Sunroof, Bluetooth", Dented Door
Ford,Focus,2007,29030,208124,Sedan,4,Automatic Transmission,Gasoline,White, Dubai,"2007 Ford Focus With Bluetooth, Leather Seats, Adaptive Cruise Control, Sunroof", Accident History
Nissan,Patrol,2010,132986,199988,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2010 Nissan Patrol With Rear Camera, Navigation System, Leather Seats", Accident History
Bmw,X5,2009,78427,254351,SUV,8,Automatic Transmission,Gasoline,White, Dubai,"2009 Bmw X5 With Sunroof, Navigation System", Dented Door
Ford,Edge,2010,39454,231942,SUV,6,Automatic Transmission,Gasoline,Brown, Abu Dhabi,"2010 Ford Edge With Rear Camera, Sunroof, Adaptive Cruise Control", Minor Scratches
Audi,Q8,2017,237019,10346,SUV,6,Automatic Transmission,Gasoline,Black, Dubai,"2017 Audi Q8 With Leather Seats, Adaptive Cruise Control", Engine Repaired
Land-Rover,Range-Rover,2010,529636,262297,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2010 Land-Rover Range-Rover With Leather Seats, Adaptive Cruise Control, Sunroof", Minor Scratches
Mercedes-Benz,G-Class,2013,483781,262575,SUV,8,Automatic Transmission,Gasoline,Burgundy, Dubai,"2013 Mercedes-Benz G-Class With Bluetooth, Rear Camera, Sunroof", Engine Repaired
Mercedes-Benz,Gle-Coupe,2022,670012,297489,SUV,6,Automatic Transmission,Gasoline,White, Dubai,"2022 Mercedes-Benz Gle-Coupe With Navigation System, Leather Seats, Adaptive Cruise Control", Accident History
Nissan,Altima,2009,28942,64638,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai,"2009 Nissan Altima With Adaptive Cruise Control, Rear Camera, Navigation System", No Damage
Ferrari,458-Italia,2018,672227,62271,Coupe,8,Automatic Transmission,Gasoline,Red, Dubai,"2018 Ferrari 458-Italia With Sunroof, Navigation System, Rear Camera", Dented Door
Volvo,Xc90,2011,17361,171555,SUV,8,Automatic Transmission,Gasoline,Silver, Dubai,"2011 Volvo Xc90 With Sunroof, Adaptive Cruise Control, Leather Seats, Bluetooth", Engine Repaired
Nissan,Patrol,2024,134991,265092,SUV,8,Automatic Transmission,Gasoline,White, Abu Dhabi,"2024 Nissan Patrol With Leather Seats, Bluetooth, Navigation System", Repainted Bumper
Rolls-Royce,Wraith,2023,884378,86067,Coupe,12,Automatic Transmission,Gasoline,Black, Dubai,"2023 Rolls-Royce Wraith With Sunroof, Adaptive Cruise Control, Navigation System", Dented Door
Porsche,Carrera,2022,212781,224288,Sports Car,6,Automatic Transmission,Gasoline,White, Dubai,"2022 Porsche Carrera With Bluetooth, Navigation System", Minor Scratches
Mercedes-Benz,C-Class,2014,152164,191291,Sedan,8,Automatic Transmission,Gasoline,Black, Sharjah,"2014 Mercedes-Benz C-Class With Sunroof, Navigation System, Adaptive Cruise Control", Repainted Bumper
Toyota,Avanza,2021,31144,130536,Van,4,Automatic Transmission,Gasoline,White, Dubai,"2021 Toyota Avanza With Sunroof, Adaptive Cruise Control, Bluetooth, Leather Seats", Minor Scratches
Land-Rover,Range-Rover,2024,362830,272263,SUV,8,Automatic Transmission,Gasoline,Silver, Dubai,"2024 Land-Rover Range-Rover With Rear Camera, Navigation System, Adaptive Cruise Control, Bluetooth", Accident History
Audi,Q5,2023,189574,15562,SUV,6,Automatic Transmission,Gasoline,Blue, Dubai,"2023 Audi Q5 With Rear Camera, Bluetooth, Leather Seats", Minor Scratches
